food,Caloric_Value,Fat,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Iron
semolina,601,1.8,121.6,0,21.2,6.5,0,7.3
quinoa dry,221,3.6,38.5,0,8.5,4.2,0,2.7
wheat shredded,155,1,36.2,0.4,5.2,5.5,0,1.4
cattail,5,0,1,0.074,0.2,0.9,0,0.2
peanut granola bar,116,5.7,15,8.2,2.4,0.7,0,0.6
vanilla bluberry bar kind,49,1.4,0.9,0.096,0,0,0,0
coconut granola bar,150,9.1,15.6,9.7,1.5,1.8,0,0.5
almond granola bar,119,6.1,14.9,0,1.8,1.2,0,0.6
chocolate chip granola bar,105,3.9,17.3,0,1.8,1.1,0,0.7
fruit granola bar,82,0.2,18.6,13.3,1.4,1.8,0,1
granola bar,99,4.2,13.5,6,2.1,1.1,0,0.6
peanut bar,209,13.5,19,16.9,6.2,1.6,0,0.4
milk cereal bar,103,2.7,18,11.5,1.6,0.1,1.5,1.5
almond rice bar,128,5.7,18.1,0,2,1,0,1.8
fruit nut squares,55,1.3,10.3,6.4,0.3,0.3,0,0.1
rice wheat cereal bar,90,2,16,7,2,0.4,0,0.6
crisped rice bar,113,3.8,20.4,0,1.4,0.6,0,1.8
brown rice raw,685,5.4,142.9,1.6,14.7,6.5,0,2.7
rice pilaf cooked,352,8.8,61.1,0.6,7,1.4,0,2
beef flavored rice raw,657,2.3,139.1,0,19.8,2.9,0,5.2
wild rice cooked,166,0.6,35,1.2,6.5,3,0,1
wild rice raw,571,1.7,119.8,4,23.6,9.9,0,3.1
congee with pork shrimp and squid plus egg,178,0.3,0,0,0,0,0,0
white rice pasta cooked,246,5.7,43.3,0,5.1,5.1,2,1.9
chicken flavored rice raw,601,2.2,127.3,4,17.9,2,0,4.7
instant white rice raw,361,0.9,78.2,0.026,7.4,1.8,0,6
rice crisps,107,0.4,24.1,2.3,1.8,0.2,0,2.9
parboiled white rice raw,692,1.9,149.6,0.6,13.9,3.3,0,6.2
instant white rice cooked,193,0.8,41.4,0,3.6,1,0,2.9
rice pilaf raw,732,2.8,155.7,3.1,21.3,2.4,0,5
rice cracker cake,111,1.2,23,0.2,2,1.2,0,0.4
parboiled white rice cooked,194,0.6,41.2,0.2,4.6,1.4,0,2.9
white rice steamed,199,0.4,44.7,0,4.2,1.2,0,0.5
brown rice cake,35,0.3,7.3,0.047,0.7,0.4,0,0.1
glutinous white rice raw,685,1,151.1,0,12.6,5.2,0,3
white rice pasta raw,600,4,122.8,0,15.3,0,3.3,6.5
glutinous white rice cooked,169,0.3,36.7,0.078,3.5,1.7,0,0.2
brown rice cooked,218,1.6,45.8,0.7,4.5,3.5,0,1
beef flavored rice cooked,319,7.9,54.4,0,7,1.5,0,2.2
white rice cooked,205,0.4,44.5,0.015,4.3,0.6,0,1.9
chicken flavored rice cooked,317,8,54.8,1.5,6.2,1.6,0,2.2
white rice raw,675,1.2,147.9,0.2,13.2,2.4,0,8
cheese imitation,441,36.2,1.1,1.1,28.3,0,17,0.8
cheshire cheese,110,8.7,1.4,0,6.6,0,29.1,0.005
monterey cheese,421,34.2,0.8,0.6,27.7,0,100.6,0.8
edam cheese,107,8.3,0.4,0,7.5,0,26.7,0.1
fontina cheese,420,33.6,1.7,1.7,27.6,0,125.3,0.2
monterey cheese low fat,350,24.4,0.8,0.6,31.9,0,73.5,0.8
colby cheese,445,36.3,2.9,0.6,26.8,0,107.4,0.9
american cheese,93,7.9,0.9,0.6,4.5,0,25,0.2
blue cheese,106,8.6,0.7,0.2,6.4,0,22.5,0.063
nectarine,66,0.5,15.8,11.8,1.6,2.6,0,0.1
kiwifruit gold,51,0.2,12.8,10,0.8,1.1,0,0.2
prickly pear raw,8,0.072,1.9,0.2,0.001,1,0,0.021
pineapple,45,0.1,11.8,8.9,0.5,1.3,0,0.091
rowan,253,4.6,54.5,32.1,5.2,14.1,0,5
muscadine grapes,3,0.056,0.8,0,0.014,0.2,0,0.014
heidelbeeren jutro,17,0.2,0.4,0,0,0,0,0
prunes stewed,316,0.7,83.2,0,3.4,0,0,3.3
tangerine,40,0.2,10.1,8,0.6,1.4,0,0.1
prunes,237,0.5,62.3,0,2.6,0,0,2.5
lemon peel,1,0.002,0.3,0.054,0.032,0.2,0,0.032
banana,134,0.5,34.3,18.3,1.6,3.9,0,0.1
raspberries,5,0.034,1.2,0.4,0.1,0.7,0,0.034
apricot,17,0.1,3.9,3.2,0.5,0.7,0,0.012
strawberry guava,4,0.008,1,0,0.01,0.3,0,0.071
kiwifruit green,42,0.4,10.1,6.2,0.8,2.1,0,0.002
figs,37,0.2,9.6,8.1,0.4,1.5,0,0.2
clementine,35,0.1,8.9,6.8,0.6,1.3,0,0.093
orange,86,0.2,21.6,17.2,1.7,4.4,0,0.094
bartlett pear,112,0.3,26.6,17.2,0.7,5.5,0,0.3
red white currants,63,0.2,15.5,8.3,1.6,4.8,0,1.1
blueberries,84,0.5,21.4,14.7,1.1,3.6,0,0.063
mulberries,6,0.049,1.5,1.2,0.2,0.3,0,0.041
java plum,2,0.029,0.5,0,0.034,0,0,0.054
prune puree,46,0.02,11.7,7,0.4,0.6,0,0
applesauce,102,0.2,27.5,22.9,0.4,2.7,0,0.014
blackberries raw,62,0.7,13.8,7,2,7.6,0,0.9
plum,30,0.2,7.5,6.5,0.5,0.9,0,0.056
american grapes,2,0.087,0.4,0.4,0.035,0.09,0,0.099
peach,59,0.4,14.3,12.6,1.4,2.3,0,0.1
honeydew melon,64,0.2,16.1,14.4,1,1.4,0,0.3
yellow plantain fried,399,12.7,68.9,36.8,2.4,5.4,0,1
rose hips,206,0.4,48.5,3.3,2,30.6,0,1.3
lemons,17,0.2,5.4,1.5,0.6,1.6,0,0.3
lime,20,0.1,7.1,1.1,0.5,1.9,0,0.4
pomegranate,117,1.6,26.4,19.3,2.4,5.6,0,0.2
gooseberries,66,0.9,15.3,0,1.3,6.5,0,0.1
asian pear,51,0.3,13,8.6,0.6,4.4,0,0
abiyuch,157,0.2,40.1,19.5,3.4,12.1,0,3.7
horned melon kiwano,92,2.6,15.8,0,3.7,0,0,2.4
fruit walnut salad mcdonalds,312,13.3,43.8,32.9,4.8,0,5.3,0.9
grapefruit,53,0.2,13.3,8.6,1,2,0,0.087
japanese persimmon,118,0.3,31.2,21.1,1,6,0,0.2
wild raspberries,81,0.4,18,7.2,1.5,9.8,0,0.8
pink lady apple,18,0.1,3.9,0,0.1,0,0,0
maraschino cherries,8,0.083,2.1,1.9,0.06,0.2,0,0.091
black currants,71,0.5,17.2,0,1.6,0,0,1.7
plantain cooked,179,0.3,48,21.6,1.2,3.5,0,0.9
crab apple,84,0.3,21.9,0,0.4,0,0,0.4
pom potes materne,19,0.2,0.2,0.068,0,0,0,0
apple,95,0.3,25.1,18.9,0.5,4.4,0,0.086
cantaloupe melon,60,0.3,14.4,13.9,1.5,1.6,0,0.018
prickly pear cooked,7,0.043,1.6,0,0.091,0,0,0
guava,37,0.5,7.9,4.9,1.4,3,0,0.1
strawberries,4,0.069,0.9,0.6,0.01,0.2,0,0.04
japanese persimmon dried,93,0.2,25,0,0.5,4.9,0,0.3
watermelon,86,0.4,21.6,17.7,1.7,1.1,0,0.1
elderberries,106,0.7,26.7,0,1,10.2,0,2.3
kumquat,13,0.2,3,1.8,0.4,1.2,0,0.092
orange peel,6,0.017,1.5,0,0.093,0.6,0,0.097
pokeberry shoots cooked,33,0.7,5.1,2.6,3.8,2.5,0,2
breadfruit,227,0.5,59.7,24.2,2.4,10.8,0,0.2
pear,101,0.2,27.1,17.4,0.6,5.5,0,0.3
sour cherries,52,0.3,12.5,8.7,1,1.6,0,0.1
plantain raw,218,0.6,57.1,31.3,2.3,3,0,1
blackberries frozen,97,0.6,23.7,16.1,1.8,7.6,0,1.2
cherries,5,0.056,1.3,1,0.068,0.2,0,0.026
plantain fried,16,0.6,2.6,0.2,0.023,0.2,0,0.039
carambola starfruit,26,0.3,5.7,3.4,0.9,2.4,0,0.1
chayote cooked,35,0.8,7.2,0,1,4.5,0,0.4
apple dippers mcdonalds,33,0,8.2,6.3,0,0,0,0.021
white grapefruit,78,0.2,19.8,17.3,1.6,2.6,0,0.1
cherimoya,176,1.6,41.6,30.2,3.7,7.1,0,0.2
melon balls,57,0.4,13.7,0,1.5,1.2,0,0.5
golden delicious apple,62,0.2,14.8,10.9,0.3,2.6,0,0.035
pokeberry shoots raw,37,0.6,5.9,0,4.2,2.7,0,0.3
cranberries,21,0.014,5.4,1.9,0.2,1.6,0,0.033
quince,52,0.012,14.1,0,0.4,1.7,0,0.1
chayote raw,25,0.2,6,2.2,1.1,2.2,0,0.2
orange with peel,100,0.5,24.6,0,2.1,7.2,0,1.3
chokecherries,249,2.6,51.8,14.4,4.7,30.8,0,1.1
mango,202,1.3,50.3,45.9,2.8,5.4,0,0.4
wild plum,147,0.3,35.3,17.1,0.7,9.7,0,0.3
jeijoa,148,1,37,19.9,1.7,15.6,0,0.3
groundcherries,74,1,15.7,0,2.7,0,0,1.4
pesca,30,0.1,0,0,0,0,0,0
persimmon,32,0.1,8.4,0,0.2,0,0,0.6
grapes,3,0.044,0.9,0.8,0.045,0.087,0,0.012
rambutan canned,175,0.4,44.7,0,1.4,1.9,0,0.7
figs canned,14,0.039,3.8,3.2,0.1,0.6,0,0.069
prunes canned,246,0.5,65.1,0,2,8.9,0,1
pineapples canned,28,0.05,7.4,6.8,0.2,0.4,0,0.1
prune plums canned,27,0.075,7,6.5,0.2,0.4,0,0.2
tangerines canned,92,0.1,23.8,22.1,1.5,1.7,0,0.7
fruit cocktail canned,109,0.053,28.1,25.7,1.1,2.4,0,0.5
sour cherries canned,189,0.3,48.6,0,1.9,2,0,3.3
mangosteen canned,143,1.1,35.1,0,0.8,3.5,0,0.6
apricot juice,117,0.07,30.1,26.2,1.5,3.9,0,0.1
strawberries canned,234,0.7,59.8,55.4,1.4,4.3,0,1.2
peach canned,110,0.094,28.9,25.7,1.6,3.3,0,0.7
fruit salad canned,125,0.008,32.5,0,1.3,2.5,0,0.6
gooseberries canned,184,0.5,47.3,0,1.6,6,0,0.8
grapefruit canned,88,0.2,22.3,21.4,1.4,1,0,1
pear canned,38,0.001,9.8,7.4,0.3,1.2,0,0.2
raspberries canned,233,0.3,59.8,51.4,2.1,8.4,0,1.1
papaya canned,80,0.2,21.8,20.4,0.001,0.6,0,0.1
grapes canned,98,0.3,25.2,23.8,1.2,1.5,0,2.4
apple dried,145,0.2,39.1,34,0.6,5.1,0,0.8
peach dried,199,0.6,50.8,43.8,3,7,0,3.4
plantain chips,150,8.4,18.1,0.3,0.6,1,0,0.3
golden raisins,498,0.8,131.2,97.7,5.6,6.6,0,3
raisins seeded,488,0.9,129.5,0,4.2,11.2,0,4.3
zante currants dried,408,0.4,106.7,96.9,5.9,9.8,0,4.7
pear dried,94,0.2,25.1,22.4,0.7,2.7,0,0.8
raisins,90,0.056,23.8,19.6,1,1.4,0,0.018
prune plums dried,308,0.5,81.5,0,2.7,9.4,0,2.6
cranberries dried,370,1.6,98.8,78,0.053,6.8,0,0.6
figs dried,21,0.008,5.4,4,0.3,0.8,0,0.2
longans dried,5,0.091,1.3,0,0.027,0,0,0.009
banana chips,147,9.5,16.5,10,0.7,2.2,0,0.4
lychee dried,7,0.003,1.8,1.7,0.01,0.1,0,0.036
apricot dried,17,0.015,4.4,3.7,0.2,0.5,0,0.2
longan,2,0.076,0.5,0,0.009,0.071,0,0.066
mamey sapote,217,0.8,56.2,35.2,2.5,9.5,0,1.4
waxgourd cooked,19,0.4,4.3,2.1,0.7,1.8,0,0.7
jackfruit,33,0.2,8.1,6.7,0.6,0.5,0,0.071
loquats,9,0.071,2.4,0,0.09,0.3,0,0.007
mammy apple mamey,431,4.2,105.8,0,4.2,25.4,0,5.9
nance,82,1.3,19,9.3,0.7,8.4,0,0.037
coconut whole coconut,3336,71.5,0,0,0,0,0,0
prickly pear,42,0.5,9.9,0,0.8,3.7,0,0.051
lychee,6,0.016,1.6,1.5,0.024,0.1,0,0.022
naranjilla lulo pulp,30,0.3,7.1,4.5,0.5,1.3,0,0.4
coconut meat dried,187,18.3,6.7,2.1,1.9,4.6,0,0.9
waxgourd raw,17,0.3,4,0,0.5,3.8,0,0.5
surinam cherry pitanga,2,0.059,0.5,0,0.045,0,0,0
passion fruit,17,0.1,4.2,2,0.4,1.9,0,0.015
sapodilla,141,1.9,33.9,0,0.7,9,0,1.4
pummelo,48,0.06,12,0,1,1.3,0,0.097
coconut meat,1405,133,60.5,24.7,13.2,35.7,0,9.6
soursop,149,0.7,37.9,30.5,2.3,7.4,0,1.4
papaya,62,0.4,15.7,11.3,0.7,2.5,0,0.017
acerola cherry,2,0.052,0.4,0,0.079,0.077,0,0.007
ohelo berries,39,0.3,9.6,0,0.5,0,0,0.1
loganberries,81,0.5,19.1,11.3,2.2,7.8,0,0.9
casaba melon,48,0.2,11.2,9.7,1.9,1.5,0,0.6
durian,51,1.9,9.5,0,0.5,1.3,0,0.094
coriander leaves raw,4,0.086,0.6,0.1,0.3,0.4,0,0.3
garden cress raw,3,0.062,0.5,0.4,0.2,0.063,0,0.009
pasilla peppers dried,24,1.1,3.6,0,0.9,1.9,0,0.7
parsley dried,1,0.096,0.3,0.073,0.1,0.1,0,0.1
ancho pepper dried,48,1.4,8.7,0,2,3.7,0,1.9
coriander seeds,5,0.3,1,0,0.2,0.8,0,0.3
dill weed dried,253,4.4,55.8,0,20,13.6,0,0.5
borage,19,0.6,2.7,0,1.6,0,0,2.9
epazote,0,0.06,0.094,0,0.059,0.051,0,0.067
chives dried,1,0.055,0.1,0,0.013,0.041,0,0.047
thyme fresh,1,0.068,0.2,0,0.091,0.1,0,0.018
butterbur,4,0.2,0.5,0,0.1,0,0,0.8
wasabi root,142,0.8,30.6,0,6.2,10.1,0,1.3
rosemary dried,4,0.2,0.8,0,0.081,0.5,0,0.4
ginger root,2,0.028,0.4,0.019,0.068,0.058,0,0.061
white pepper,7,0,1.6,0,0.2,0.6,0,0.069
cloves ground,6,0.3,1.4,0.028,0.1,0.7,0,0.2
paprika,19,0.9,3.7,0.7,1,2.4,0,0.061
mace ground,25,1.7,2.7,0,0.4,1.1,0,0.7
bay leaf,2,0.042,0.4,0,0.086,0.2,0,0.3
eppaw,150,1.8,31.7,0,4.6,0,0,0.2
tarragon dried,2,0.047,0.3,0,0.1,0.038,0,0.2
ginger ground,6,0.043,1.3,0.067,0.2,0.3,0,0.4
savory ground,4,0.029,1,0,0.074,0.6,0,0.043
black pepper,6,0.006,1.5,0.08,0.2,0.6,0,0.001
spearmint fresh,3,0.089,0.5,0,0.2,0.4,0,0.008
poultry seasoning,14,0.3,2.9,0.1,0.4,0.5,0,1.6
nutmeg ground,12,0.8,1.1,0.6,0.1,0.5,0,0.018
curry powder,20,0.9,3.7,0.2,0.8,2.1,0,0.034
peppermint,1,0.004,0.2,0,0.038,0.1,0,0.078
salt,0,0,0,0,0,0,0,0.006
coriander leaves dried,2,0.098,0.3,0.045,0.1,0.095,0,0.017
sage ground,2,0.046,0.4,0.052,0.058,0.3,0,0.2
garlic powder,10,0.029,2.3,0.068,0.5,0.3,0,0.003
dill weed fresh,4,0.063,0.6,0,0.3,0.2,0,0.09
cardamom,6,0.1,1.4,0,0.2,0.6,0,0.3
saffron,2,0.092,0.5,0,0.071,0.002,0,0.037
allspice ground,5,0.2,1.4,0,0.1,0.4,0,0.1
parsley fresh,1,0.078,0.2,0.001,0.1,0.1,0,0.085
oregano dried,265,4.3,68.9,4.1,9,42.5,0,0.6
marjoram dried,5,0.1,1,0.077,0.2,0.7,0,0.029
chives raw,1,0.088,0.1,0.02,0.03,0.044,0,0.059
fireweed leaves,24,0.6,4.4,0,1.1,2.4,0,0.6
rosemary fresh,1,0.1,0.1,0,0.005,0.012,0,0.092
garlic,4,0.026,0.9,0.043,0.2,0.064,0,0.069
cinnamon ground,6,0.044,2.1,0.066,0.1,1.4,0,0.2
chervil dried,5,0.002,0.9,0,0.4,0.2,0,0.6
cayenne pepper,1,0.094,0.2,0.089,0.039,0.052,0,0.003
turmeric ground,8,0.2,1.4,0.062,0.2,0.5,0,0.9
mustard,3,0.2,0.3,0.048,0.2,0.2,0,0.086
chili powder,8,0.4,1.3,0.2,0.4,0.9,0,0.032
thyme dried,276,7.4,63.9,1.7,9.1,37,0,0.9
spearmint dried,1,0.018,0.3,0,0.094,0.1,0,0.021
basil dried,2,0.027,0.3,0.054,0.2,0.3,0,0.082
dandelion greens cooked,35,0.6,6.7,1.7,2.1,3,0,1.9
basil fresh,2,0.089,0.2,0.064,0.2,0.1,0,0.075
dock,29,0.9,4.3,0,2.7,3.9,0,0.2
garden cress cooked,31,0.8,5.1,4.2,2.6,0.9,0,1.1
onion powder,8,0.024,1.9,0.2,0.2,0.4,0,0.052
dandelion greens raw,25,0.4,5.1,0.4,1.5,1.9,0,1.7
yokan,36,0.022,8.5,0,0.5,0,0,0.048
fava beans cooked,187,0.7,33.4,3.1,12.9,9.2,0,0.4
french beans raw,631,3.7,118,0,34.6,46.4,0,6.3
chickpeas canned,352,7,57,0,17.8,0,0,2.7
yellow beans cooked,255,1.9,44.7,0,16.2,18.4,0,0.3
mung beans cooked,212,0.8,38.7,4,14.2,15.4,0,0.3
white beans canned,299,0.8,55.5,0.8,19,12.6,0,7.8
pink beans cooked,252,0.8,47.2,0.6,15.3,9,0,0.5
pink beans raw,720,2.4,134.8,4.5,44,26.7,0,14.2
navy beans raw,701,3.1,126.4,8.1,46.4,50.8,0,11.4
snap beans cooked,44,0.4,9.9,1.9,2.4,4,0,0.015
black eyed cowpeas raw,131,0.5,27.3,4.4,4.3,7.3,0,1.6
edamame cooked,189,8.1,13.8,3.4,18.5,8.1,0,0.5
black eyed cowpeas cooked,160,0.6,33.5,5.3,5.2,8.3,0,0.2
hyacinth beans cooked,227,1.1,40.2,0,15.8,0,0,0.7
cowpeas canned,185,1.3,32.7,0,11.4,7.9,0,2.3
pinto beans cooked,245,1.1,44.8,0.6,15.4,15.4,0,0.4
winged beans cooked,253,10,25.7,0,18.3,0,0,7.4
pinto beans raw,670,2.4,120.7,4.1,41.3,29.9,0,9.8
black turtle beans raw,624,1.7,116.4,3.9,39.1,28.5,0,16
fava beans raw,512,2.3,87.4,8.6,39.2,37.5,0,10.1
lima beans canned,190,0.4,35.9,0,11.9,11.6,0,4.4
hyacinth beans raw,722,3.5,127.6,0,50.2,53.8,0,10.7
white beans raw,673,1.7,121.7,4.3,47.2,30.7,0,21.1
snap beans canned,66,0.4,15.4,0,3.5,6.6,0,4
navy beans canned,296,1.1,53.6,0.7,19.7,13.4,0,4.8
mung beans raw,718,2.4,129.6,13.7,49.4,33.7,0,14
adzuki beans raw,648,1,123.9,0,39.1,25,0,9.8
black turtle beans cooked,241,0.6,45,0.6,15.1,15.4,0,0.5
pink lentils raw,662,4.2,113.6,0,47.9,20.7,0,14.5
yellow beans raw,676,5.1,119,0,43.1,49.2,0,13.7
white beans cooked,249,0.6,44.9,0.6,17.4,11.3,0,0.5
lentils raw,678,2,115.4,3.9,49.5,58.6,0,14.5
cranberry beans cooked,241,0.8,43.3,0,16.5,17.7,0,0.4
chickpeas raw,728,12.1,121.3,21.4,38.6,34.8,0,12.5
lentils cooked,230,0.8,39.9,3.6,17.9,15.6,0,0.5
baked beans canned,239,0.9,53.7,20.2,12.1,10.4,0,3
cranberry beans canned,216,0.7,39.3,0,14.4,16.4,0,4
black beans cooked,227,0.9,40.8,0,15.2,15,0,3.6
lima beans cooked,216,0.7,39.3,5.5,14.7,13.2,0,0.4
mungo beans raw,706,3.4,122.1,0,52.2,37.9,0,15.7
pigeon peas raw,703,3.1,128.7,0,44.5,30.8,0,10.7
fava beans canned,182,0.6,31.8,0,14,9.5,0,2.6
yellow snap beans raw,31,0.1,7.1,0,1.8,3.4,0,1
snap beans raw,31,0.2,7,3.3,1.8,2.7,0,1
yellow snap beans canned,36,0.2,8.4,0,1.9,3.6,0,2.2
pigeon peas cooked,203,0.6,39.1,0,11.4,11.3,0,1.9
catjang cowpeas raw,573,3.5,99.6,0,39.8,17.9,0,16.6
navy beans cooked,255,1.1,47.4,0.7,15,19.1,0,4.3
mothbeans raw,672,3.2,120.6,0,45,0,0,21.3
cowpeas cooked,81,0.4,14.5,2.3,5.4,4.6,0,0.2
mothbeans cooked,207,1,37.1,0,13.8,0,0,5.6
french beans cooked,228,1.3,42.5,0,12.5,16.6,0,0.2
lima beans raw,602,1.2,112.8,15.1,38.2,33.8,0,13.4
winged beans raw,744,29.7,75.9,0,54,47.1,0,24.5
adzuki beans cooked,294,0.2,57,0,17.3,16.8,0,0.7
black beans raw,662,2.8,121,4.1,41.9,30.1,0,9.7
catjang cowpeas cooked,200,1.2,34.7,0,13.9,6.2,0,0.5
baby lima beans cooked,189,0.5,35,2.5,12,10.8,0,0.4
cowpeas raw,41,0.3,8.9,4.7,3.1,3.1,0,0.9
shellie beans canned,74,0.5,15.2,1.5,4.3,8.3,0,0.2
yardlong beans raw,579,2.2,103.4,0,40.6,18.4,0,14.4
pinto beans canned,197,1.3,36.4,2.4,11,11,0,3.5
chickpeas cooked,269,4.2,45,7.9,14.5,12.5,0,4.7
cranberry beans raw,653,2.4,117.1,0,44.9,48.2,0,9.8
mungo beans cooked,189,1,33,3.6,13.6,11.5,0,3.2
tamarinds,5,0.013,1.3,0.8,0.057,0.1,0,0.032
yellow snap beans cooked,44,0.4,9.9,4.5,2.4,4.1,0,0.1
yardlong beans cooked,202,0.8,36.1,0,14.2,6.5,0,0.4
bacon beef steak,146,12.5,0.2,0.2,8.2,0,28.9,0.5
lamb foreshank raw,912,60.7,0,0,85.8,0,326.6,7.6
bacon,106,10.2,0.2,0.2,3.3,0,0,0.1
lamb rib cooked,915,76,0,0,53.9,0,247.4,4.1
lamb shank raw,912,61.2,0,0,84.3,0,303.9,7.8
scrapple,60,3.9,4,0.063,2.3,0.052,13.9,0.5
chicken nuggets,61,4.1,3,0.039,3.2,0.2,8.6,0.091
ground lamb cooked,886,61.5,0,0,77.5,0,303.6,5.6
lamb meat cooked,678,45,0,0,63.8,0,240,4.8
meat extender,275,2.6,33.7,0,33.5,15.4,0,10.6
lamb leg raw,1043,77.4,0,0,81.2,0,313,7.5
lamb loin cooked,202,14.8,0,0,16.1,0,64,1.2
chicken patty,172,11.7,7.7,0,8.9,0.2,25.8,0.6
lamb shank roasted,605,33.5,0,0,71,0,242.1,5.3
barbecue loaf,40,2,1.5,0,3.6,0,8.5,0.3
lamb sirloin cooked,765,54.2,0,0,64.5,0,254.1,5.2
poultry salad,26,1.8,1,0,1.5,0,3.9,0.097
ground lamb raw,80,6.6,0,0,4.7,0,20.7,0.4
lamb loin raw,88,7.5,0,0,4.6,0,20.9,0.5
lamb sirloin raw,1234,100.3,0,0,76.8,0,326.6,7.3
sausage patty mcdonalds,115,11.2,0.4,0.1,4.3,0,20.9,0.3
lamb foreshank cooked,360,19.9,0,0,42,0,156.9,3.2
ham salad,97,7,4.8,0,3.9,0,16.7,0.3
lamb rib raw,1687,156,0,0,65.9,0,344.7,6.3
lamb shoulder raw,1198,97.3,0,0,75.2,0,326.6,6.8
lamb meat raw,1102,84.6,0,0,79.6,0,317.5,7.3
lamb shoulder cooked,750,53.5,0,0,62.5,0,252.9,5.2
mutton cooked,66,3.1,0.027,0,9.5,0,30.8,1.3
lamb leg cooked,684,43.7,0,0,67.7,0,246.5,5.2
beef stick,110,9.9,1.1,0,4.3,0,26.6,0.7
veal sirloin cooked,517,26.9,0,0,64.1,0,221.4,2.5
veal rib cooked,444,22.2,0,0,57.4,0,246,2.5
veal meat cooked,483,23.8,0,0,62.9,0,238.3,2.4
beef rib roasted,238,19.1,0,0,15.4,0,57,1.6
veal sirloin raw,689,35.4,0,0,86.5,0,353.8,3.5
beef top loin filet grilled,323,19,0.8,0,37,0,116.1,0.2
beef under blade steak cooked,983,46.7,0,0,140.8,0,480.4,0.5
mock tender steak raw,244,8.3,0,0,42.2,0,132.7,4.8
ground beef cooked,375,24.8,0,0,35.5,0,122.3,0.1
ground beef raw,1506,136.1,0,0,65.1,0,353.8,7.4
beef diced asda,48,0.7,10.5,0.054,0,0,0,0
veal rib raw,735,40.9,0,0,85.5,0,372,3.9
ground veal raw,41,1.9,0,0,5.5,0,23.2,0.2
t bone steak cooked,1049,74.1,0,0,89.3,0,301.3,0.2
veal leg round raw,531,14,0,0,95.2,0,353.8,3.6
beef top sirloin steak raw,1222,77.3,0,0,123.4,0,456,9
beef plate steak grilled,508,35.6,0,0,47.1,0,177.5,0.4
ground veal cooked,514,22.6,0,0,72.9,0,308,3
veal leg round cooked,574,17.2,0,0,98.4,0,364.5,3.6
porterhouse steak raw,1170,91.1,0,0,81.6,0,308.4,8.8
veal shank raw,513,15.8,0,0,86.9,0,340.2,3.4
veal breast cooked,753,47.5,0,0,76.3,0,319.8,2.2
corned beef canned,53,3.1,0,0,5.7,0,18.1,0.4
rib eye steak grilled,680,47.7,0,0,62.4,0,195.8,6
veal shoulder raw,0,0,0,0,0,0,0,0
t bone steak raw,1052,76.3,0,0,85.7,0,281.2,9.5
sirloin steak,324,14.1,0,0,49.5,0,144.4,0.2
mock tender steak cooked,137,4.9,0,0,21.9,0,55.3,2.6
beef round steak cooked,385,12.1,0,0,64.8,0,174.3,5.2
chuck blade roast raw,1125,88,0,0,77.8,0,322.1,9.3
beef shoulder steak raw,349,17.3,0,0,48.2,0,164.9,6
beef top blade cooked,184,10,0,0,21.9,0,51.9,2.3
corned beef cooked,53,4,0.006,0,3.8,0,20.6,0.4
beef round steak raw,753,36,0,0,100.1,0,313,8.4
beef shoulder steak grilled,155,5.8,0,0,24,0,68.9,2.5
chuck eye steak raw,856,62.8,0,0,72.4,0,261.1,8.1
beef bottom round steak cooked,980,35.1,0,0,155.8,0,426.4,13
porterhouse steak cooked,235,16.4,0,0,20.4,0,57,2.5
beef under blade steak raw,1235,80.8,0,0,126.8,0,431,12.6
beef plate steak raw,617,46.8,0.9,0,47.8,0,188.9,9.1
beef meat canned,111,7.9,0,0,9.2,0,34.7,1
beef breakfast strips raw,92,8.8,0.2,0,2.8,0,18.5,0.3
beef brisket cooked,589,43.6,0,0,46,0,165.5,4.4
corned beef raw,898,67.6,0.6,0,66.6,0,244.9,7.7
beef mince meat asda,55,3.1,6.8,0.054,0,0,0,0
pastrami beef fat free,9,0.1,0.1,0,1.9,0,4.5,0.3
rib eye steak raw,743,54.5,0.4,0,62.8,0,221.7,5.9
beef tenderloin steak cooked,374,24,0,0,37,0,135.8,2.4
chuck blade roast cooked,842,62,0,0,66.1,0,256.9,7.7
cured beef dried,4,0.019,0.06,0.006,0.9,0,2.2,0.004
beef flank steak cooked,380,17.5,0,0,51.8,0,152.3,3.4
chuck eye steak grilled,853,60.5,0,0,76.9,0,268,0.2
veal meat raw,653,30.7,0,0,87.8,0,372,3.8
veal loin cooked,80,4.9,0,0,8.5,0,33.4,0.3
veal loin raw,46,2.6,0,0,5.3,0,22.4,0.2
veal shoulder cooked,435,19.4,0,0,61.2,0,240.7,2.7
beef tenderloin steak raw,405,29.8,0,0,32.2,0,139.4,2.3
veal shank cooked,371,12,0,0,61.2,0,240.6,2.4
beef brisket raw,1139,86.5,0,0,83.6,0,308.4,7.7
pastrami beef,104,4.1,0.3,0.08,15.5,0,48.3,1.6
beef flank steak raw,47,2.3,0,0,6,0,19.2,0.4
beef top sirloin steak cooked,430,25.2,0,0,47.7,0,162.8,3.1
veal breast raw,943,66.9,0,0,79.2,0,322.1,2.4
beef rib raw,1433,123.8,0,0,73.8,0,322.1,7.8
beef jerky,82,5.1,2.2,1.8,6.6,0.4,9.6,1.1
beef breakfast strips cooked,51,3.9,0.2,0,3.5,0,13.4,0.4
